tail,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint,auroc
100,0.888,0.761,0.550,0.984,0.769,0.972,0.942
200,0.903,0.821,0.682,0.989,0.827,0.961,0.953
300,0.907,0.845,0.741,0.993,0.848,0.949,0.957
400,0.907,0.859,0.784,0.995,0.861,0.934,0.960
500,0.906,0.868,0.813,0.997,0.870,0.923,0.961
600,0.904,0.872,0.831,0.997,0.874,0.914,0.962
700,0.905,0.880,0.853,0.997,0.881,0.907,0.962
800,0.903,0.882,0.866,0.997,0.883,0.898,0.963
900,0.901,0.884,0.877,0.997,0.885,0.891,0.963
1000,0.900,0.886,0.887,0.998,0.887,0.884,0.963
