tail,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint,auroc
100,0.891,0.776,0.592,0.990,0.781,0.961,0.942
200,0.902,0.829,0.711,0.993,0.833,0.948,0.953
300,0.904,0.850,0.766,0.996,0.852,0.934,0.957
400,0.904,0.865,0.808,0.997,0.866,0.922,0.960
500,0.903,0.872,0.833,0.997,0.873,0.911,0.961
600,0.902,0.877,0.853,0.997,0.879,0.901,0.962
700,0.901,0.882,0.871,0.998,0.883,0.893,0.962
800,0.899,0.884,0.884,0.998,0.885,0.884,0.963
900,0.897,0.885,0.894,0.998,0.885,0.875,0.963
1000,0.896,0.887,0.905,0.998,0.888,0.869,0.963
