tail,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint,auroc
100,0.890,0.815,0.706,0.997,0.816,0.923,0.943
200,0.897,0.854,0.796,0.998,0.855,0.911,0.954
300,0.897,0.870,0.845,0.998,0.871,0.896,0.959
400,0.896,0.878,0.874,0.998,0.878,0.882,0.961
500,0.895,0.884,0.897,0.998,0.884,0.871,0.962
600,0.891,0.884,0.911,0.999,0.885,0.857,0.963
700,0.889,0.886,0.923,0.999,0.886,0.849,0.964
800,0.885,0.885,0.933,0.999,0.885,0.836,0.964
900,0.883,0.885,0.942,0.999,0.885,0.827,0.965
1000,0.877,0.882,0.949,0.999,0.882,0.815,0.965
