tail,f1_macro_medio,f1_macro_std,acc_medio,acc_std,uuc_acc_medio,uuc_acc_std,inner_medio,inner std,outer_medio,outer_std,halfpoint_medio,halfpoint_std,auroc_media,auroc_std
0,0.233,0.022,0.504,0.009,1.000,0.000,1.000,0.000,0.504,0.009,0.009,0.017,0.480,0.050
10,0.517,0.096,0.605,0.057,0.895,0.075,1.000,0.000,0.605,0.057,0.315,0.126,0.699,0.018
20,0.371,0.087,0.557,0.035,0.982,0.022,1.000,0.000,0.557,0.035,0.132,0.079,0.620,0.030
30,0.257,0.047,0.513,0.018,1.000,0.000,1.000,0.000,0.513,0.018,0.027,0.036,0.547,0.039
40,0.233,0.022,0.504,0.009,1.000,0.000,1.000,0.000,0.504,0.009,0.009,0.017,0.482,0.050
50,0.233,0.022,0.504,0.009,1.000,0.000,1.000,0.000,0.504,0.009,0.009,0.017,0.480,0.050
60,0.233,0.022,0.504,0.009,1.000,0.000,1.000,0.000,0.504,0.009,0.009,0.017,0.480,0.050
