tail,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint,auroc
100,0.873,0.705,0.438,0.983,0.713,0.972,0.940
200,0.894,0.784,0.603,0.987,0.790,0.965,0.954
300,0.902,0.816,0.674,0.991,0.821,0.958,0.959
400,0.905,0.838,0.725,0.993,0.841,0.951,0.962
500,0.906,0.851,0.760,0.994,0.854,0.942,0.964
600,0.908,0.863,0.792,0.996,0.865,0.934,0.964
700,0.906,0.868,0.812,0.997,0.870,0.924,0.965
800,0.906,0.874,0.832,0.997,0.876,0.917,0.965
900,0.907,0.881,0.850,0.997,0.882,0.912,0.966
1000,0.906,0.884,0.862,0.997,0.885,0.905,0.966
