tail,f1_macro_medio,f1_macro_std,acc_medio,acc_std,uuc_acc_medio,uuc_acc_std,inner_medio,inner std,outer_medio,outer_std,halfpoint_medio,halfpoint_std,auroc_media,auroc_std
0,0.610,0.042,0.636,0.031,0.790,0.050,1.000,0.000,0.636,0.031,0.483,0.076,0.587,0.042
10,0.715,0.037,0.711,0.033,0.728,0.042,1.000,0.000,0.711,0.033,0.693,0.066,0.725,0.012
20,0.707,0.051,0.707,0.049,0.746,0.049,1.000,0.000,0.707,0.049,0.667,0.079,0.681,0.024
30,0.654,0.016,0.667,0.025,0.763,0.059,1.000,0.000,0.667,0.025,0.571,0.046,0.633,0.041
40,0.610,0.042,0.636,0.031,0.790,0.050,1.000,0.000,0.636,0.031,0.483,0.076,0.589,0.043
50,0.610,0.042,0.636,0.031,0.790,0.050,1.000,0.000,0.636,0.031,0.483,0.076,0.587,0.042
60,0.610,0.042,0.636,0.031,0.790,0.050,1.000,0.000,0.636,0.031,0.483,0.076,0.587,0.042
