tail,f1_macro_medio,f1_macro_std,acc_medio,acc_std,uuc_acc_medio,uuc_acc_std,inner_medio,inner std,outer_medio,outer_std,halfpoint_medio,halfpoint_std,auroc_media,auroc_std
0,0.334,0.023,0.540,0.009,0.982,0.022,1.000,0.000,0.540,0.009,0.097,0.020,0.480,0.050
10,0.665,0.040,0.685,0.029,0.807,0.044,1.000,0.000,0.685,0.029,0.562,0.079,0.699,0.018
20,0.552,0.063,0.619,0.048,0.877,0.032,1.000,0.000,0.619,0.048,0.360,0.066,0.620,0.030
30,0.489,0.068,0.596,0.056,0.938,0.065,1.000,0.000,0.596,0.056,0.254,0.049,0.547,0.039
40,0.334,0.023,0.540,0.009,0.982,0.022,1.000,0.000,0.540,0.009,0.097,0.020,0.482,0.050
50,0.334,0.023,0.540,0.009,0.982,0.022,1.000,0.000,0.540,0.009,0.097,0.020,0.480,0.050
60,0.334,0.023,0.540,0.009,0.982,0.022,1.000,0.000,0.540,0.009,0.097,0.020,0.480,0.050
