tail,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint,auroc
100,0.894,0.805,0.667,0.994,0.808,0.943,0.942
200,0.901,0.847,0.766,0.997,0.849,0.928,0.953
300,0.900,0.863,0.816,0.997,0.865,0.911,0.957
400,0.900,0.874,0.850,0.998,0.875,0.899,0.960
500,0.898,0.879,0.872,0.998,0.880,0.887,0.961
600,0.896,0.882,0.888,0.998,0.883,0.877,0.962
700,0.894,0.885,0.903,0.999,0.885,0.867,0.962
800,0.892,0.885,0.913,0.999,0.886,0.858,0.963
900,0.890,0.886,0.922,0.999,0.886,0.850,0.963
1000,0.887,0.886,0.932,0.999,0.887,0.840,0.963
