tail,f1_macro_medio,f1_macro_std,acc_medio,acc_std,uuc_acc_medio,uuc_acc_std,inner_medio,inner std,outer_medio,outer_std,halfpoint_medio,halfpoint_std,auroc_media,auroc_std
0,0.222,0.000,0.500,0.000,1.000,0.000,1.000,0.000,0.500,0.000,0.000,0.000,0.587,0.042
10,0.309,0.080,0.540,0.040,1.000,0.000,1.000,0.000,0.540,0.040,0.079,0.080,0.725,0.013
20,0.255,0.044,0.513,0.018,1.000,0.000,1.000,0.000,0.513,0.018,0.027,0.036,0.681,0.024
30,0.222,0.000,0.500,0.000,1.000,0.000,1.000,0.000,0.500,0.000,0.000,0.000,0.633,0.041
40,0.222,0.000,0.500,0.000,1.000,0.000,1.000,0.000,0.500,0.000,0.000,0.000,0.589,0.043
50,0.222,0.000,0.500,0.000,1.000,0.000,1.000,0.000,0.500,0.000,0.000,0.000,0.587,0.042
60,0.222,0.000,0.500,0.000,1.000,0.000,1.000,0.000,0.500,0.000,0.000,0.000,0.587,0.042
