tail,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint,auroc
100,0.883,0.745,0.524,0.987,0.751,0.966,0.943
200,0.900,0.811,0.664,0.991,0.816,0.958,0.954
300,0.905,0.839,0.728,0.993,0.842,0.949,0.959
400,0.906,0.854,0.771,0.996,0.856,0.937,0.961
500,0.905,0.864,0.802,0.997,0.865,0.925,0.962
600,0.905,0.871,0.825,0.997,0.873,0.917,0.963
700,0.905,0.877,0.847,0.997,0.879,0.908,0.964
800,0.904,0.882,0.862,0.997,0.883,0.901,0.964
900,0.903,0.885,0.875,0.998,0.886,0.894,0.965
1000,0.901,0.887,0.886,0.998,0.888,0.887,0.965
