tail,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint,auroc
100,0.868,0.695,0.411,0.979,0.706,0.979,0.940
200,0.895,0.783,0.592,0.981,0.793,0.975,0.954
300,0.903,0.817,0.667,0.987,0.823,0.966,0.959
400,0.907,0.839,0.720,0.991,0.844,0.958,0.962
500,0.908,0.852,0.756,0.993,0.855,0.947,0.964
600,0.908,0.862,0.787,0.994,0.865,0.937,0.964
700,0.907,0.868,0.808,0.996,0.870,0.927,0.965
800,0.906,0.874,0.828,0.997,0.875,0.919,0.965
900,0.907,0.880,0.846,0.997,0.881,0.913,0.966
1000,0.906,0.883,0.860,0.997,0.885,0.907,0.966
