tail,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint,auroc
100,0.889,0.762,0.548,0.982,0.770,0.975,0.942
200,0.903,0.822,0.681,0.987,0.828,0.963,0.953
300,0.907,0.845,0.741,0.993,0.849,0.950,0.957
400,0.907,0.859,0.783,0.995,0.861,0.935,0.960
500,0.906,0.868,0.811,0.997,0.869,0.924,0.961
600,0.904,0.872,0.830,0.997,0.873,0.914,0.962
700,0.904,0.879,0.851,0.997,0.880,0.907,0.962
800,0.903,0.882,0.865,0.997,0.883,0.899,0.963
900,0.901,0.883,0.876,0.997,0.884,0.891,0.963
1000,0.900,0.885,0.886,0.998,0.886,0.884,0.963
