tail,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint,auroc
100,0.876,0.716,0.465,0.987,0.722,0.967,0.940
200,0.895,0.790,0.620,0.990,0.794,0.959,0.954
300,0.902,0.822,0.691,0.993,0.825,0.953,0.959
400,0.904,0.841,0.739,0.994,0.844,0.943,0.962
500,0.905,0.855,0.774,0.996,0.857,0.935,0.964
600,0.906,0.864,0.802,0.997,0.865,0.926,0.964
700,0.906,0.872,0.825,0.997,0.873,0.919,0.965
800,0.905,0.877,0.843,0.997,0.878,0.911,0.965
900,0.905,0.881,0.857,0.997,0.882,0.905,0.966
1000,0.904,0.885,0.873,0.997,0.887,0.898,0.966
