tail,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint,auroc
100,0.876,0.716,0.465,0.987,0.722,0.967,0.940
200,0.895,0.790,0.620,0.990,0.794,0.959,0.954
300,0.902,0.822,0.691,0.993,0.825,0.953,0.959
400,0.904,0.841,0.739,0.994,0.844,0.943,0.962
500,0.905,0.855,0.774,0.996,0.857,0.935,0.964
