epsilon,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint,auroc
0.870,0.062,0.500,1.000,1.000,0.500,0.001,0.284
0.880,0.062,0.500,1.000,1.000,0.500,0.001,0.284
0.890,0.061,0.500,1.000,1.000,0.500,0.000,0.284
0.900,0.061,0.500,1.000,1.000,0.500,0.000,0.284
0.910,0.061,0.500,1.000,1.000,0.500,0.000,0.284
0.920,0.061,0.500,1.000,1.000,0.500,0.000,0.284
0.930,0.061,0.500,1.000,1.000,0.500,0.000,0.284
0.940,0.061,0.500,1.000,1.000,0.500,0.000,0.284
0.950,0.061,0.500,1.000,1.000,0.500,0.000,0.284
0.960,0.061,0.500,1.000,1.000,0.500,0.000,0.284
0.970,0.061,0.500,1.000,1.000,0.500,0.000,0.284
0.980,0.061,0.500,1.000,1.000,0.500,0.000,0.284
0.990,0.061,0.500,1.000,1.000,0.500,0.000,0.284
