tail,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint,auroc
100,0.883,0.739,0.506,0.984,0.747,0.972,0.943
200,0.900,0.808,0.653,0.988,0.814,0.963,0.954
300,0.906,0.837,0.721,0.992,0.841,0.954,0.959
400,0.908,0.854,0.764,0.994,0.857,0.944,0.961
500,0.907,0.863,0.795,0.996,0.865,0.931,0.962
600,0.906,0.871,0.819,0.997,0.872,0.922,0.963
700,0.906,0.876,0.838,0.997,0.877,0.914,0.964
800,0.906,0.882,0.857,0.997,0.883,0.907,0.964
900,0.905,0.884,0.869,0.997,0.885,0.900,0.965
1000,0.903,0.886,0.880,0.997,0.888,0.893,0.965
