epsilon,f1,acc,uuc_acc,inner,outer,half,auroc
[],"[0.22535211267605634, 0.3373058866016612, 0.3023845763571791, 0.28504828504828505, 0.3299798792756539]","[0.5106382978723404, 0.5625, 0.5306122448979592, 0.5490196078431373, 0.5625]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1, 1.0, 1.0, 1.0, 1.0]","[0.5106382978723404, 0.5625, 0.5306122448979592, 0.5490196078431373, 0.5625]","[0.0, 0.08695652173913043, 0.041666666666666664, 0.041666666666666664, 0.08695652173913043]","[1.0, 0.9965217391304348, 0.9833333333333333, 0.9938271604938272, 0.9982608695652173]"
[],"[0.22535211267605634, 0.3373058866016612, 0.3023845763571791, 0.28504828504828505, 0.3299798792756539]","[0.5106382978723404, 0.5625, 0.5306122448979592, 0.5490196078431373, 0.5625]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1, 1.0, 1.0, 1.0, 1.0]","[0.5106382978723404, 0.5625, 0.5306122448979592, 0.5490196078431373, 0.5625]","[0.0, 0.08695652173913043, 0.041666666666666664, 0.041666666666666664, 0.08695652173913043]","[1.0, 0.9965217391304348, 0.9833333333333333, 0.9938271604938272, 0.9982608695652173]"
[],"[0.22535211267605634, 0.28703703703703703, 0.3023845763571791, 0.28504828504828505, 0.2827635327635328]","[0.5106382978723404, 0.5416666666666666, 0.5306122448979592, 0.5490196078431373, 0.5416666666666666]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1, 1.0, 1.0, 1.0, 1.0]","[0.5106382978723404, 0.5416666666666666, 0.5306122448979592, 0.5490196078431373, 0.5416666666666666]","[0.0, 0.043478260869565216, 0.041666666666666664, 0.041666666666666664, 0.043478260869565216]","[1.0, 0.9965217391304348, 0.9833333333333333, 0.9938271604938272, 0.9982608695652173]"
[],"[0.22535211267605634, 0.28703703703703703, 0.3023845763571791, 0.28504828504828505, 0.228310502283105]","[0.5106382978723404, 0.5416666666666666, 0.5306122448979592, 0.5490196078431373, 0.5208333333333334]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1, 1.0, 1.0, 1.0, 1]","[0.5106382978723404, 0.5416666666666666, 0.5306122448979592, 0.5490196078431373, 0.5208333333333334]","[0.0, 0.043478260869565216, 0.041666666666666664, 0.041666666666666664, 0.0]","[1.0, 0.9965217391304348, 0.9833333333333333, 0.9938271604938272, 0.9982608695652173]"
[],"[0.22535211267605634, 0.28703703703703703, 0.22522522522522523, 0.23076923076923075, 0.228310502283105]","[0.5106382978723404, 0.5416666666666666, 0.5102040816326531, 0.5294117647058824, 0.5208333333333334]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1, 1.0, 1, 1, 1]","[0.5106382978723404, 0.5416666666666666, 0.5102040816326531, 0.5294117647058824, 0.5208333333333334]","[0.0, 0.043478260869565216, 0.0, 0.0, 0.0]","[1.0, 0.9965217391304348, 0.9833333333333333, 0.9938271604938272, 0.9982608695652173]"
[],"[0.22535211267605634, 0.228310502283105, 0.22522522522522523, 0.23076923076923075, 0.228310502283105]","[0.5106382978723404, 0.5208333333333334, 0.5102040816326531, 0.5294117647058824, 0.5208333333333334]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1, 1, 1, 1, 1]","[0.5106382978723404, 0.5208333333333334, 0.5102040816326531, 0.5294117647058824, 0.5208333333333334]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.9965217391304348, 0.9833333333333333, 0.9938271604938272, 0.9982608695652173]"
[],"[0.22535211267605634, 0.228310502283105, 0.22522522522522523, 0.23076923076923075, 0.228310502283105]","[0.5106382978723404, 0.5208333333333334, 0.5102040816326531, 0.5294117647058824, 0.5208333333333334]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1, 1, 1, 1, 1]","[0.5106382978723404, 0.5208333333333334, 0.5102040816326531, 0.5294117647058824, 0.5208333333333334]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.9965217391304348, 0.9833333333333333, 0.9938271604938272, 0.9982608695652173]"
[],"[0.22535211267605634, 0.228310502283105, 0.22522522522522523, 0.23076923076923075, 0.228310502283105]","[0.5106382978723404, 0.5208333333333334, 0.5102040816326531, 0.5294117647058824, 0.5208333333333334]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1, 1, 1, 1, 1]","[0.5106382978723404, 0.5208333333333334, 0.5102040816326531, 0.5294117647058824, 0.5208333333333334]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.9965217391304348, 0.9833333333333333, 0.9938271604938272, 0.9982608695652173]"
[],"[0.22535211267605634, 0.228310502283105, 0.22522522522522523, 0.23076923076923075, 0.228310502283105]","[0.5106382978723404, 0.5208333333333334, 0.5102040816326531, 0.5294117647058824, 0.5208333333333334]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1, 1, 1, 1, 1]","[0.5106382978723404, 0.5208333333333334, 0.5102040816326531, 0.5294117647058824, 0.5208333333333334]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.9965217391304348, 0.9833333333333333, 0.9938271604938272, 0.9982608695652173]"
[],"[0.22535211267605634, 0.228310502283105, 0.22522522522522523, 0.23076923076923075, 0.228310502283105]","[0.5106382978723404, 0.5208333333333334, 0.5102040816326531, 0.5294117647058824, 0.5208333333333334]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1, 1, 1, 1, 1]","[0.5106382978723404, 0.5208333333333334, 0.5102040816326531, 0.5294117647058824, 0.5208333333333334]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.9965217391304348, 0.9833333333333333, 0.9938271604938272, 0.9982608695652173]"
[],"[0.22535211267605634, 0.228310502283105, 0.22522522522522523, 0.23076923076923075, 0.228310502283105]","[0.5106382978723404, 0.5208333333333334, 0.5102040816326531, 0.5294117647058824, 0.5208333333333334]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1, 1, 1, 1, 1]","[0.5106382978723404, 0.5208333333333334, 0.5102040816326531, 0.5294117647058824, 0.5208333333333334]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.9965217391304348, 0.9833333333333333, 0.9938271604938272, 0.9982608695652173]"
[],"[0.22535211267605634, 0.228310502283105, 0.22522522522522523, 0.23076923076923075, 0.228310502283105]","[0.5106382978723404, 0.5208333333333334, 0.5102040816326531, 0.5294117647058824, 0.5208333333333334]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1, 1, 1, 1, 1]","[0.5106382978723404, 0.5208333333333334, 0.5102040816326531, 0.5294117647058824, 0.5208333333333334]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.9965217391304348, 0.9833333333333333, 0.9938271604938272, 0.9982608695652173]"
[],"[0.22535211267605634, 0.228310502283105, 0.22522522522522523, 0.23076923076923075, 0.228310502283105]","[0.5106382978723404, 0.5208333333333334, 0.5102040816326531, 0.5294117647058824, 0.5208333333333334]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1, 1, 1, 1, 1]","[0.5106382978723404, 0.5208333333333334, 0.5102040816326531, 0.5294117647058824, 0.5208333333333334]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.9965217391304348, 0.9833333333333333, 0.9938271604938272, 0.9982608695652173]"
