epsilon,f1,acc,uuc_acc,inner,outer,half,auroc
[],"[0.8933390755096182, 0.9576811594202899, 0.9492888064316637, 0.9414177978883861, 0.8531746031746031]","[0.8936170212765957, 0.9583333333333334, 0.9387755102040817, 0.9411764705882353, 0.8333333333333334]","[0.7916666666666666, 0.96, 0.92, 0.8888888888888888, 0.68]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.8936170212765957, 0.9583333333333334, 0.9387755102040817, 0.9411764705882353, 0.8333333333333334]","[1.0, 0.9565217391304348, 0.9583333333333334, 1.0, 1.0]","[1.0, 0.9965217391304348, 0.9833333333333333, 0.9938271604938272, 0.9982608695652173]"
[],"[0.8933390755096182, 0.9789712986643933, 0.9135568205776935, 0.9605128205128205, 0.8531746031746031]","[0.8936170212765957, 0.9791666666666666, 0.8979591836734694, 0.9607843137254902, 0.8333333333333334]","[0.7916666666666666, 1.0, 0.92, 0.9259259259259259, 0.68]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.8936170212765957, 0.9791666666666666, 0.8979591836734694, 0.9607843137254902, 0.8333333333333334]","[1.0, 0.9565217391304348, 0.875, 1.0, 1.0]","[1.0, 0.9965217391304348, 0.9833333333333333, 0.9938271604938272, 0.9982608695652173]"
[],"[0.9138730298150587, 0.9789712986643933, 0.9299145299145298, 0.980377358490566, 0.8531746031746031]","[0.9148936170212766, 0.9791666666666666, 0.9183673469387755, 0.9803921568627451, 0.8333333333333334]","[0.8333333333333334, 1.0, 0.96, 0.9629629629629629, 0.68]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.9148936170212766, 0.9791666666666666, 0.9183673469387755, 0.9803921568627451, 0.8333333333333334]","[1.0, 0.9565217391304348, 0.875, 1.0, 1.0]","[1.0, 0.9965217391304348, 0.9833333333333333, 0.9938271604938272, 0.9982608695652173]"
[],"[0.9138730298150587, 0.9789712986643933, 0.8915343915343915, 0.9598282340311326, 0.870467616904226]","[0.9148936170212766, 0.9791666666666666, 0.8775510204081632, 0.9607843137254902, 0.8541666666666666]","[0.8333333333333334, 1.0, 0.96, 0.9629629629629629, 0.72]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.9148936170212766, 0.9791666666666666, 0.8775510204081632, 0.9607843137254902, 0.8541666666666666]","[1.0, 0.9565217391304348, 0.7916666666666666, 0.9583333333333334, 1.0]","[1.0, 0.9965217391304348, 0.9833333333333333, 0.9938271604938272, 0.9982608695652173]"
[],"[0.9138730298150587, 0.956876456876457, 0.9079685746352414, 0.9598282340311326, 0.9054916985951468]","[0.9148936170212766, 0.9583333333333334, 0.8979591836734694, 0.9607843137254902, 0.8958333333333334]","[0.8333333333333334, 1.0, 1.0, 0.9629629629629629, 0.8]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.9148936170212766, 0.9583333333333334, 0.8979591836734694, 0.9607843137254902, 0.8958333333333334]","[1.0, 0.9130434782608695, 0.7916666666666666, 0.9583333333333334, 1.0]","[1.0, 0.9965217391304348, 0.9833333333333333, 0.9938271604938272, 0.9982608695652173]"
[],"[0.9138730298150587, 0.956876456876457, 0.9079685746352414, 0.9598282340311326, 0.9233954451345756]","[0.9148936170212766, 0.9583333333333334, 0.8979591836734694, 0.9607843137254902, 0.9166666666666666]","[0.8333333333333334, 1.0, 1.0, 0.9629629629629629, 0.84]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.9148936170212766, 0.9583333333333334, 0.8979591836734694, 0.9607843137254902, 0.9166666666666666]","[1.0, 0.9130434782608695, 0.7916666666666666, 0.9583333333333334, 1.0]","[1.0, 0.9965217391304348, 0.9833333333333333, 0.9938271604938272, 0.9982608695652173]"
[],"[0.9138730298150587, 0.9335130278526504, 0.8873626373626373, 0.9381818181818181, 0.9416863672182821]","[0.9148936170212766, 0.9375, 0.8775510204081632, 0.9411764705882353, 0.9375]","[0.8333333333333334, 1.0, 1.0, 0.9629629629629629, 0.88]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.9148936170212766, 0.9375, 0.8775510204081632, 0.9411764705882353, 0.9375]","[1.0, 0.8695652173913043, 0.75, 0.9166666666666666, 1.0]","[1.0, 0.9965217391304348, 0.9833333333333333, 0.9938271604938272, 0.9982608695652173]"
[],"[0.9351290684624018, 0.9335130278526504, 0.8873626373626373, 0.918109668109668, 0.9798639455782313]","[0.9361702127659575, 0.9375, 0.8775510204081632, 0.9215686274509803, 0.9791666666666666]","[0.875, 1.0, 1.0, 0.9629629629629629, 0.96]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.9361702127659575, 0.9375, 0.8775510204081632, 0.9215686274509803, 0.9791666666666666]","[1.0, 0.8695652173913043, 0.75, 0.875, 1.0]","[1.0, 0.9965217391304348, 0.9833333333333333, 0.9938271604938272, 0.9982608695652173]"
[],"[0.95728855149145, 0.9335130278526504, 0.8873626373626373, 0.9148996930106374, 0.9574603174603175]","[0.9574468085106383, 0.9375, 0.8775510204081632, 0.9215686274509803, 0.9583333333333334]","[0.9166666666666666, 1.0, 1.0, 1.0, 0.96]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.9574468085106383, 0.9375, 0.8775510204081632, 0.9215686274509803, 0.9583333333333334]","[1.0, 0.8695652173913043, 0.75, 0.8333333333333334, 0.9565217391304348]","[1.0, 0.9965217391304348, 0.9833333333333333, 0.9938271604938272, 0.9982608695652173]"
[],"[0.95728855149145, 0.9335130278526504, 0.8873626373626373, 0.8644546147978641, 0.9775910364145658]","[0.9574468085106383, 0.9375, 0.8775510204081632, 0.8823529411764706, 0.9791666666666666]","[0.9166666666666666, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.9574468085106383, 0.9375, 0.8775510204081632, 0.8823529411764706, 0.9791666666666666]","[1.0, 0.8695652173913043, 0.75, 0.75, 0.9565217391304348]","[1.0, 0.9965217391304348, 0.9833333333333333, 0.9938271604938272, 0.9982608695652173]"
