y,x,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,class
40,960,209.43,103.46,166.47,195.85,57.5851,1.1484,2.7691,66.1675,2.0,9.0,4.0,5.0,6.0,4.0,11.0,4.0,3.0,8.0,4.0,8.0,6.0,8.0,11.0,7.0,70.085771,196.98284,105.610123,160.452963,183.720247,511.763039,11.503552,55.0068,529.879269,415.0,380.0,332.0,1098.0,388.0,105.0,722.0,488.0,305.0,697.0,91.0,480.0,1061.0,456.0,547.0,535.0,57.956018,1
50,1170,205.75,106.02,152.86,193.38,75.2675,1.3796,13.3404,85.7756,6.0,7.0,4.0,11.0,4.0,2.0,5.0,6.0,5.0,5.0,1.0,12.0,15.0,8.0,3.0,6.0,67.615771,189.782099,107.078765,156.254815,176.759506,616.637087,18.075277,60.627662,626.84315,366.0,415.0,347.0,1081.0,408.0,112.0,694.0,451.0,334.0,682.0,116.0,541.0,1092.0,463.0,481.0,517.0,50.995277,1
70,240,157.01,106.24,150.01,142.16,164.5899,4.1224,4.8699,160.3344,2.0,3.0,2.0,11.0,3.0,0.0,3.0,2.0,12.0,6.0,1.0,6.0,27.0,14.0,4.0,4.0,16.395771,175.86716,103.841852,161.504198,160.635802,525.297662,10.546718,48.271958,525.195508,263.0,408.0,270.0,1397.0,352.0,98.0,529.0,549.0,272.0,555.0,88.0,608.0,1179.0,475.0,451.0,606.0,34.871574,1
70,860,188.17,108.27,160.81,175.05,468.6811,8.2971,104.4939,472.6075,4.0,6.0,3.0,21.0,4.0,2.0,16.0,8.0,1.0,6.0,2.0,7.0,4.0,1.0,6.0,9.0,49.285771,200.71358,104.70679,160.297778,187.324691,238.747593,4.479584,33.454538,262.032847,317.0,448.0,326.0,1138.0,373.0,101.0,604.0,476.0,316.0,599.0,87.0,569.0,1196.0,487.0,485.0,578.0,61.560463,1
80,1640,177.43,107.76,153.9,164.07,619.3251,2.1024,25.21,664.6651,6.0,2.0,2.0,11.0,6.0,0.0,11.0,4.0,4.0,8.0,1.0,5.0,23.0,5.0,5.0,7.0,38.305771,195.815432,106.507284,158.395432,183.057407,823.989021,13.147478,58.542769,846.253618,336.0,387.0,359.0,1029.0,416.0,93.0,751.0,445.0,356.0,730.0,129.0,526.0,1079.0,472.0,504.0,488.0,57.293179,1
90,1790,164.61,109.51,160.5,150.65,480.6179,2.3299,87.13,484.8275,3.0,4.0,2.0,9.0,5.0,0.0,27.0,12.0,2.0,1.0,1.0,3.0,9.0,3.0,11.0,8.0,24.885771,181.949383,106.270864,157.416543,168.500864,1263.869784,18.279225,79.210689,1253.838394,350.0,381.0,341.0,1110.0,400.0,112.0,701.0,437.0,378.0,728.0,126.0,492.0,1059.0,477.0,491.0,517.0,42.736635,1
100,2940,206.88,132.57,155.59,201.09,332.6856,3.5451,2.9819,392.9819,7.0,7.0,3.0,15.0,2.0,1.0,12.0,5.0,1.0,18.0,2.0,11.0,1.0,4.0,3.0,8.0,75.325771,200.379506,121.514815,152.915309,192.178889,978.043629,110.544102,56.396037,1106.883678,314.0,367.0,369.0,955.0,404.0,96.0,1007.0,476.0,339.0,893.0,105.0,489.0,887.0,418.0,510.0,471.0,66.41466,2
110,600,190.79,102.67,168.85,175.41,126.8859,1.1611,7.0275,147.7619,2.0,5.0,4.0,39.0,3.0,1.0,6.0,10.0,3.0,5.0,0.0,4.0,6.0,2.0,1.0,9.0,49.645771,190.138148,103.661358,161.516543,175.646296,421.091409,7.771371,42.686023,434.579462,287.0,362.0,283.0,1312.0,356.0,92.0,509.0,479.0,291.0,566.0,94.0,499.0,1344.0,497.0,472.0,657.0,49.882067,1
110,2930,213.77,133.79,153.01,208.98,100.3171,1.8459,4.2099,122.3196,4.0,6.0,5.0,5.0,6.0,2.0,12.0,4.0,8.0,4.0,1.0,4.0,13.0,10.0,10.0,6.0,83.215771,204.540988,121.29321,153.746049,196.353457,580.835974,110.945509,48.992916,669.505068,328.0,351.0,355.0,923.0,422.0,94.0,1011.0,477.0,339.0,924.0,107.0,475.0,856.0,441.0,519.0,478.0,70.589228,2
110,2940,219.2,128.34,153.6,213.88,67.92,8.8244,5.12,85.0656,4.0,8.0,2.0,15.0,5.0,0.0,4.0,7.0,6.0,10.0,1.0,12.0,10.0,4.0,7.0,5.0,88.115771,205.486173,123.306543,152.03642,198.041481,649.726105,83.130846,56.366945,767.165934,311.0,360.0,361.0,919.0,419.0,103.0,1012.0,463.0,343.0,895.0,105.0,487.0,886.0,432.0,524.0,480.0,72.277253,2
