y,x,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,class
50,370,177.13,103.07,166.18,161.36,438.9931,6.5851,40.1476,433.8504,3.0,1.0,2.0,2.0,9.0,3.0,13.0,3.0,5.0,4.0,1.0,0.0,29.0,5.0,16.0,4.0,35.595771,186.759259,101.786543,164.878765,171.155309,316.454636,5.642955,36.728512,329.367484,295.0,366.0,257.0,1155.0,391.0,131.0,427.0,457.0,295.0,553.0,96.0,559.0,1345.0,556.0,523.0,694.0,45.39108,1
50,530,185.04,104.85,160.08,170.48,130.6984,0.5475,3.6936,149.6096,5.0,6.0,6.0,11.0,5.0,1.0,16.0,8.0,1.0,0.0,2.0,6.0,14.0,5.0,5.0,9.0,44.715771,189.735802,103.799383,161.064074,175.173704,209.385261,6.355432,31.743672,217.484765,302.0,372.0,302.0,1232.0,340.0,120.0,524.0,551.0,290.0,526.0,109.0,588.0,1145.0,528.0,499.0,672.0,49.409475,1
50,740,202.68,102.32,160.71,188.6,97.4976,0.6776,7.1459,109.82,2.0,3.0,4.0,14.0,3.0,3.0,3.0,4.0,2.0,3.0,2.0,6.0,32.0,10.0,3.0,6.0,62.835771,196.111235,103.692469,162.230864,181.946173,288.618861,5.196412,35.626208,305.977596,334.0,386.0,317.0,1182.0,380.0,111.0,573.0,481.0,304.0,543.0,82.0,533.0,1222.0,501.0,509.0,642.0,56.181944,1
50,1090,206.22,104.71,166.09,192.96,111.8516,0.6059,12.1419,124.7384,7.0,6.0,2.0,14.0,2.0,1.0,3.0,8.0,7.0,7.0,2.0,12.0,9.0,7.0,7.0,6.0,67.195771,195.760864,105.342593,158.659877,182.310864,326.876271,6.241272,35.583699,350.571512,354.0,443.0,350.0,1095.0,392.0,104.0,618.0,444.0,359.0,687.0,96.0,535.0,1066.0,488.0,473.0,596.0,56.546635,1
50,1260,212.56,107.31,160.51,201.06,186.3064,1.6339,7.2899,212.7964,2.0,2.0,4.0,10.0,6.0,1.0,8.0,5.0,3.0,10.0,4.0,6.0,19.0,7.0,7.0,6.0,75.295771,194.622346,106.478519,157.634444,181.785679,810.805649,15.281637,69.159332,815.465178,358.0,403.0,341.0,1060.0,417.0,98.0,672.0,454.0,368.0,694.0,108.0,491.0,1103.0,477.0,531.0,525.0,56.02145,1
50,1310,164.11,107.35,155.59,150.2,1081.1179,13.4675,74.8019,1067.02,4.0,1.0,5.0,7.0,6.0,3.0,13.0,6.0,3.0,6.0,1.0,2.0,23.0,5.0,10.0,5.0,24.435771,190.821975,106.085062,157.051728,177.505309,592.846826,9.942765,43.142139,624.396885,353.0,419.0,354.0,1048.0,434.0,109.0,650.0,444.0,351.0,677.0,104.0,522.0,1122.0,441.0,542.0,530.0,51.74108,1
50,1400,202.58,107.31,166.15,189.77,203.2236,5.1139,9.0875,231.9771,7.0,8.0,7.0,14.0,4.0,2.0,10.0,5.0,3.0,4.0,1.0,5.0,14.0,5.0,3.0,8.0,64.005771,183.381728,105.890988,157.900741,169.69284,994.081691,13.909968,73.000024,1000.330591,354.0,404.0,372.0,1146.0,380.0,111.0,660.0,434.0,352.0,721.0,101.0,490.0,1157.0,449.0,466.0,503.0,43.928611,1
50,1420,113.67,112.57,149.13,101.82,1355.1811,16.9851,79.4731,1240.7676,1.0,3.0,3.0,22.0,6.0,0.0,12.0,5.0,4.0,5.0,0.0,4.0,15.0,6.0,9.0,5.0,-23.944229,185.310741,105.714444,159.001358,171.617654,961.346774,12.099569,63.30506,975.530478,357.0,396.0,360.0,1068.0,402.0,106.0,723.0,451.0,342.0,682.0,102.0,495.0,1189.0,439.0,483.0,505.0,45.853426,1
50,1960,188.48,103.62,159.22,173.8,239.3896,1.7156,7.2716,269.9,5.0,3.0,7.0,16.0,5.0,2.0,8.0,5.0,6.0,12.0,1.0,7.0,6.0,6.0,4.0,7.0,48.035771,182.034198,107.049506,156.508519,168.952346,1392.773028,20.19866,82.000051,1370.499951,362.0,372.0,379.0,1070.0,407.0,113.0,688.0,437.0,382.0,735.0,115.0,467.0,1095.0,465.0,484.0,529.0,43.188117,1
50,2000,211.27,104.82,156.4,198.98,162.0571,3.0076,3.04,191.4596,5.0,4.0,4.0,14.0,5.0,2.0,7.0,6.0,5.0,12.0,0.0,5.0,18.0,5.0,5.0,3.0,73.215771,169.783704,108.27358,154.237407,156.871852,1888.158401,33.17108,108.689193,1829.719381,356.0,364.0,369.0,1054.0,414.0,103.0,725.0,417.0,400.0,786.0,102.0,468.0,1046.0,466.0,495.0,535.0,31.107623,1
