tail,f1_macro_medio,f1_macro_std,acc_medio,acc_std,uuc_acc_medio,uuc_acc_std,inner_medio,inner std,outer_medio,outer_std,halfpoint_medio,halfpoint_std,auroc_media,auroc_std
0,0.519,0.054,0.566,0.062,0.764,0.108,1.000,0.000,0.566,0.062,0.369,0.026,0.480,0.050
10,0.679,0.033,0.671,0.029,0.649,0.062,1.000,0.000,0.671,0.029,0.693,0.066,0.699,0.018
20,0.627,0.046,0.632,0.047,0.675,0.080,1.000,0.000,0.632,0.047,0.589,0.067,0.620,0.030
30,0.580,0.034,0.597,0.041,0.702,0.074,1.000,0.000,0.597,0.041,0.492,0.027,0.547,0.039
40,0.531,0.058,0.575,0.065,0.764,0.108,1.000,0.000,0.575,0.065,0.387,0.039,0.482,0.050
50,0.519,0.054,0.566,0.062,0.764,0.108,1.000,0.000,0.566,0.062,0.369,0.026,0.480,0.050
60,0.519,0.054,0.566,0.062,0.764,0.108,1.000,0.000,0.566,0.062,0.369,0.026,0.480,0.050
