tail,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint,auroc
100,0.891,0.775,0.584,0.988,0.781,0.965,0.941
200,0.903,0.828,0.704,0.993,0.832,0.952,0.951
300,0.905,0.849,0.758,0.995,0.851,0.939,0.956
400,0.904,0.862,0.799,0.997,0.863,0.924,0.958
500,0.903,0.869,0.824,0.997,0.870,0.915,0.959
600,0.903,0.876,0.846,0.997,0.877,0.905,0.960
700,0.902,0.880,0.863,0.997,0.881,0.897,0.961
800,0.900,0.883,0.877,0.998,0.884,0.888,0.962
900,0.898,0.884,0.887,0.998,0.885,0.881,0.962
1000,0.896,0.885,0.898,0.998,0.886,0.873,0.962
