tail,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint,auroc
100,0.887,0.759,0.558,0.990,0.764,0.961,0.943
200,0.901,0.820,0.689,0.993,0.824,0.952,0.954
300,0.904,0.844,0.748,0.995,0.846,0.940,0.959
400,0.905,0.860,0.792,0.997,0.862,0.928,0.961
500,0.905,0.870,0.822,0.997,0.871,0.917,0.962
600,0.904,0.876,0.842,0.997,0.877,0.909,0.963
700,0.903,0.880,0.861,0.997,0.882,0.900,0.964
800,0.902,0.884,0.876,0.998,0.885,0.892,0.964
900,0.900,0.886,0.889,0.998,0.887,0.884,0.965
1000,0.899,0.888,0.898,0.998,0.889,0.877,0.965
