tail,f1_macro_medio,f1_macro_std,acc_medio,acc_std,uuc_acc_medio,uuc_acc_std,inner_medio,inner std,outer_medio,outer_std,halfpoint_medio,halfpoint_std,auroc_media,auroc_std
0,0.556,0.016,0.610,0.025,0.843,0.058,1.000,0.000,0.610,0.025,0.377,0.018,0.587,0.042
10,0.719,0.040,0.720,0.040,0.763,0.070,1.000,0.000,0.720,0.040,0.676,0.074,0.725,0.013
20,0.666,0.025,0.680,0.033,0.781,0.073,1.000,0.000,0.680,0.033,0.579,0.040,0.681,0.024
30,0.608,0.030,0.641,0.028,0.816,0.042,1.000,0.000,0.641,0.028,0.466,0.051,0.633,0.041
40,0.556,0.016,0.610,0.025,0.843,0.058,1.000,0.000,0.610,0.025,0.377,0.018,0.589,0.043
50,0.556,0.016,0.610,0.025,0.843,0.058,1.000,0.000,0.610,0.025,0.377,0.018,0.587,0.042
60,0.556,0.016,0.610,0.025,0.843,0.058,1.000,0.000,0.610,0.025,0.377,0.018,0.587,0.042
