tail,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint,auroc
100,0.869,0.696,0.417,0.980,0.706,0.976,0.940
200,0.894,0.782,0.595,0.984,0.790,0.970,0.954
300,0.903,0.816,0.668,0.988,0.822,0.964,0.959
400,0.907,0.838,0.721,0.991,0.843,0.956,0.962
500,0.908,0.852,0.758,0.994,0.855,0.947,0.964
600,0.908,0.863,0.788,0.995,0.865,0.937,0.964
700,0.907,0.868,0.809,0.996,0.870,0.927,0.965
800,0.906,0.874,0.829,0.997,0.875,0.919,0.965
900,0.907,0.880,0.847,0.997,0.881,0.913,0.966
1000,0.906,0.884,0.861,0.997,0.885,0.907,0.966
