tail,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint,auroc
100,0.879,0.732,0.503,0.990,0.736,0.961,0.940
200,0.896,0.799,0.645,0.992,0.803,0.953,0.954
300,0.901,0.830,0.714,0.994,0.833,0.945,0.959
400,0.904,0.849,0.762,0.996,0.851,0.935,0.962
500,0.905,0.861,0.796,0.997,0.863,0.926,0.964
600,0.905,0.870,0.822,0.997,0.871,0.917,0.964
700,0.904,0.875,0.841,0.997,0.876,0.909,0.965
800,0.903,0.880,0.860,0.997,0.881,0.901,0.965
900,0.903,0.884,0.874,0.998,0.885,0.895,0.966
1000,0.902,0.887,0.886,0.998,0.888,0.887,0.966
