tail,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint,auroc
100,0.884,0.768,0.593,0.995,0.771,0.944,0.940
200,0.897,0.824,0.714,0.996,0.826,0.935,0.954
300,0.900,0.848,0.773,0.997,0.850,0.923,0.959
400,0.901,0.865,0.817,0.997,0.866,0.912,0.962
500,0.901,0.874,0.846,0.998,0.875,0.903,0.964
600,0.900,0.879,0.865,0.998,0.879,0.893,0.964
700,0.899,0.884,0.884,0.998,0.884,0.883,0.965
800,0.898,0.887,0.898,0.998,0.888,0.876,0.965
900,0.895,0.887,0.908,0.998,0.888,0.866,0.966
1000,0.895,0.889,0.919,0.999,0.890,0.860,0.966
