tail,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint,auroc
100,0.891,0.773,0.576,0.985,0.780,0.970,0.941
200,0.904,0.828,0.699,0.991,0.832,0.957,0.951
300,0.906,0.848,0.752,0.995,0.851,0.944,0.956
400,0.905,0.861,0.793,0.996,0.863,0.928,0.958
500,0.904,0.868,0.820,0.997,0.870,0.917,0.959
600,0.903,0.875,0.842,0.997,0.876,0.908,0.960
700,0.902,0.879,0.859,0.997,0.880,0.899,0.961
800,0.900,0.881,0.872,0.997,0.883,0.891,0.962
900,0.899,0.884,0.882,0.998,0.885,0.885,0.962
1000,0.898,0.885,0.894,0.998,0.886,0.877,0.962
