tail,f1_macro_medio,f1_macro_std,acc_medio,acc_std,uuc_acc_medio,uuc_acc_std,inner_medio,inner std,outer_medio,outer_std,halfpoint_medio,halfpoint_std,auroc_media,auroc_std
0,0.490,0.048,0.592,0.037,0.921,0.064,1.000,0.000,0.592,0.037,0.263,0.054,0.587,0.042
10,0.690,0.031,0.698,0.032,0.772,0.075,1.000,0.000,0.698,0.032,0.623,0.068,0.725,0.013
20,0.606,0.037,0.641,0.036,0.816,0.042,1.000,0.000,0.641,0.036,0.466,0.068,0.681,0.024
30,0.550,0.019,0.606,0.027,0.843,0.058,1.000,0.000,0.606,0.027,0.368,0.020,0.633,0.041
40,0.507,0.056,0.601,0.043,0.921,0.064,1.000,0.000,0.601,0.043,0.281,0.058,0.589,0.043
50,0.490,0.048,0.592,0.037,0.921,0.064,1.000,0.000,0.592,0.037,0.263,0.054,0.587,0.042
60,0.490,0.048,0.592,0.037,0.921,0.064,1.000,0.000,0.592,0.037,0.263,0.054,0.587,0.042
