tail,f1_macro_medio,f1_macro_std,acc_medio,acc_std,uuc_acc_medio,uuc_acc_std,inner_medio,inner std,outer_medio,outer_std,halfpoint_medio,halfpoint_std,auroc_media,auroc_std
0,0.601,0.034,0.601,0.030,0.570,0.184,1.000,0.000,0.601,0.030,0.632,0.141,0.587,0.042
10,0.683,0.058,0.671,0.049,0.535,0.158,1.000,0.000,0.671,0.049,0.807,0.134,0.725,0.013
20,0.663,0.054,0.649,0.050,0.535,0.158,1.000,0.000,0.649,0.050,0.763,0.105,0.681,0.024
30,0.650,0.039,0.641,0.038,0.561,0.172,1.000,0.000,0.641,0.038,0.720,0.114,0.633,0.041
40,0.601,0.034,0.601,0.030,0.570,0.184,1.000,0.000,0.601,0.030,0.632,0.141,0.589,0.043
50,0.601,0.034,0.601,0.030,0.570,0.184,1.000,0.000,0.601,0.030,0.632,0.141,0.587,0.042
60,0.601,0.034,0.601,0.030,0.570,0.184,1.000,0.000,0.601,0.030,0.632,0.141,0.587,0.042
