tail,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint,auroc
100,0.893,0.832,0.745,0.997,0.833,0.919,0.941
200,0.895,0.861,0.821,0.998,0.862,0.900,0.951
300,0.895,0.873,0.861,0.998,0.874,0.885,0.956
400,0.892,0.879,0.889,0.999,0.879,0.869,0.958
500,0.889,0.881,0.905,0.999,0.882,0.857,0.959
600,0.886,0.882,0.920,0.999,0.883,0.845,0.960
700,0.882,0.881,0.931,0.999,0.882,0.832,0.961
800,0.878,0.881,0.940,0.999,0.881,0.821,0.962
900,0.873,0.878,0.947,0.999,0.878,0.808,0.962
1000,0.867,0.874,0.954,0.999,0.875,0.794,0.962
