tail,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint,auroc
100,0.893,0.832,0.745,0.997,0.833,0.919,0.941
200,0.895,0.861,0.821,0.998,0.862,0.900,0.951
300,0.895,0.873,0.861,0.998,0.874,0.885,0.956
400,0.892,0.879,0.889,0.999,0.879,0.869,0.958
500,0.889,0.881,0.905,0.999,0.882,0.857,0.959
