tail,f1_macro_medio,f1_macro_std,acc_medio,acc_std,uuc_acc_medio,uuc_acc_std,inner_medio,inner std,outer_medio,outer_std,halfpoint_medio,halfpoint_std,auroc_media,auroc_std
0,0.489,0.068,0.596,0.056,0.938,0.065,1.000,0.000,0.596,0.056,0.254,0.049,0.480,0.050
10,0.704,0.046,0.711,0.043,0.772,0.075,1.000,0.000,0.711,0.043,0.649,0.090,0.699,0.018
20,0.628,0.012,0.654,0.016,0.807,0.044,1.000,0.000,0.654,0.016,0.500,0.039,0.620,0.030
30,0.533,0.049,0.606,0.038,0.877,0.032,1.000,0.000,0.606,0.038,0.334,0.046,0.547,0.039
40,0.489,0.068,0.596,0.056,0.938,0.065,1.000,0.000,0.596,0.056,0.254,0.049,0.482,0.050
50,0.489,0.068,0.596,0.056,0.938,0.065,1.000,0.000,0.596,0.056,0.254,0.049,0.480,0.050
60,0.489,0.068,0.596,0.056,0.938,0.065,1.000,0.000,0.596,0.056,0.254,0.049,0.480,0.050
