tail,f1_macro_medio,f1_macro_std,acc_medio,acc_std,uuc_acc_medio,uuc_acc_std,inner_medio,inner std,outer_medio,outer_std,halfpoint_medio,halfpoint_std,auroc_media,auroc_std
0,0.622,0.036,0.628,0.028,0.641,0.140,1.000,0.000,0.628,0.028,0.615,0.143,0.587,0.042
10,0.709,0.040,0.697,0.031,0.606,0.116,1.000,0.000,0.697,0.031,0.789,0.127,0.725,0.013
20,0.688,0.032,0.676,0.029,0.606,0.116,1.000,0.000,0.676,0.029,0.746,0.100,0.681,0.024
30,0.674,0.034,0.667,0.033,0.632,0.130,1.000,0.000,0.667,0.033,0.702,0.117,0.633,0.041
40,0.622,0.036,0.628,0.028,0.641,0.140,1.000,0.000,0.628,0.028,0.615,0.143,0.589,0.043
50,0.622,0.036,0.628,0.028,0.641,0.140,1.000,0.000,0.628,0.028,0.615,0.143,0.587,0.042
60,0.622,0.036,0.628,0.028,0.641,0.140,1.000,0.000,0.628,0.028,0.615,0.143,0.587,0.042
