tail,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint,auroc
100,0.895,0.814,0.686,0.995,0.816,0.941,0.941
200,0.900,0.850,0.777,0.997,0.851,0.922,0.951
300,0.900,0.866,0.825,0.997,0.867,0.907,0.956
400,0.899,0.875,0.857,0.998,0.876,0.894,0.958
500,0.897,0.880,0.878,0.998,0.881,0.883,0.959
600,0.894,0.882,0.893,0.998,0.883,0.871,0.960
700,0.892,0.884,0.907,0.999,0.884,0.861,0.961
800,0.890,0.885,0.917,0.999,0.885,0.853,0.962
900,0.887,0.884,0.927,0.999,0.885,0.842,0.962
1000,0.884,0.884,0.935,0.999,0.885,0.834,0.962
