tail,f1_macro_medio,f1_macro_std,acc_medio,acc_std,uuc_acc_medio,uuc_acc_std,inner_medio,inner std,outer_medio,outer_std,halfpoint_medio,halfpoint_std,auroc_media,auroc_std
0,0.526,0.052,0.575,0.060,0.781,0.102,1.000,0.000,0.575,0.060,0.369,0.026,0.480,0.050
10,0.686,0.031,0.680,0.025,0.666,0.046,1.000,0.000,0.680,0.025,0.693,0.066,0.699,0.018
20,0.635,0.041,0.641,0.039,0.693,0.062,1.000,0.000,0.641,0.039,0.589,0.067,0.620,0.030
30,0.587,0.027,0.606,0.033,0.719,0.058,1.000,0.000,0.606,0.033,0.492,0.027,0.547,0.039
40,0.538,0.055,0.584,0.062,0.781,0.102,1.000,0.000,0.584,0.062,0.387,0.039,0.482,0.050
50,0.526,0.052,0.575,0.060,0.781,0.102,1.000,0.000,0.575,0.060,0.369,0.026,0.480,0.050
60,0.526,0.052,0.575,0.060,0.781,0.102,1.000,0.000,0.575,0.060,0.369,0.026,0.480,0.050
