11,3150,4120
11,2800,4330
11,3380,4040
11,2340,4530
11,2600,4490
11,2670,4320
11,2670,4380
11,2790,4300
11,2850,4270
11,3240,4060
11,2580,4490
11,3400,3990
11,2770,4330
11,3000,4210
11,2930,4210
11,2390,4550
11,3400,4010
11,3140,4120
11,2390,4530
11,2600,4420
11,3360,4000
11,3060,4160
11,2860,4330
11,2840,4250
11,3250,4160
11,3040,4170
11,2880,4230
11,2630,4400
11,3340,4020
11,2850,4260
11,3370,4100
11,3020,4230
11,2520,4420
11,2820,4290
11,2460,4530
11,2580,4420
11,2760,4350
11,2960,4220
11,2600,4470
11,2450,4520
11,2960,4270
11,2910,4250
11,2680,4330
11,2780,4310
11,2700,4360
11,3070,4250
11,2530,4470
11,3190,4160
11,2950,4210
11,2570,4410
11,3330,4020
11,2680,4320
11,3350,4100
11,2940,4210
11,2760,4370
11,3170,4090
11,3280,4040
11,3370,4060
11,2780,4290
11,3400,4020
11,3140,4190
11,2910,4270
11,2400,4460
11,2830,4290
11,3290,4050
11,2590,4390
11,2410,4480
11,2290,4530
11,2610,4360
11,3280,4160
11,3120,4230
11,3030,4200
11,3130,4120
11,2840,4280
11,3400,4040
11,3000,4200
11,3260,4050
11,3040,4190
11,2680,4410
11,2940,4290
11,2830,4340
11,3240,4090
11,3300,4110
11,3290,4070
11,3220,4070
11,3240,4110
11,2540,4470
11,3360,4060
11,2910,4300
11,2770,4390
11,2590,4470
11,3330,4130
11,2980,4260
11,2430,4490
11,3320,4110
11,3020,4200
11,2690,4410
11,2840,4370
11,2700,4370
11,3080,4140
11,3120,4200
11,2470,4540
11,2480,4450
11,2960,4290
11,2340,4490
11,2990,4270
11,2680,4390
11,2490,4510
11,2550,4460
11,2930,4220
11,2350,4520
11,2830,4360
11,3070,4230
11,2970,4220
11,3320,4140
11,3100,4170
11,2720,4370
11,3190,4170
11,3080,4180
11,3230,4100
11,2730,4320
11,2490,4420
11,2950,4200
11,3370,4040
11,2460,4470
11,2560,4440
11,2520,4500
11,2910,4220
11,3390,4010
11,3110,4140
11,2570,4400
11,2860,4320
11,2680,4380
11,2960,4190
11,2400,4470
11,2980,4190
11,2300,4510
11,2700,4310
11,2630,4420
11,2580,4410
11,2310,4540
11,2750,4290
11,2700,4330
11,3230,4130
11,2710,4330
11,3270,4050
11,3090,4230
11,2670,4330
11,2620,4440
11,3080,4250
11,3290,4060
11,2500,4480
11,3200,4100
11,2230,4550
11,2520,4520
11,2440,4490
11,2520,4470
11,2930,4290
11,2800,4380
11,2930,4260
11,3180,4100
11,3090,4250
11,2360,4530
11,2660,4460
11,3190,4110
11,2490,4520
11,3070,4160
11,2310,4530
11,2690,4360
11,3330,4100
11,2870,4230
11,2530,4400
11,2970,4280
11,3380,3990
11,2800,4280
11,3010,4220
11,2970,4250
11,2580,4440
11,2400,4550
11,3360,4100
11,3050,4220
11,2670,4420
11,2770,4290
11,3000,4240
11,2890,4330
11,3060,4220
11,3210,4170
11,3260,4170
11,2340,4540
11,3040,4260
11,2250,4550
11,3000,4280
11,2470,4480
11,2760,4340
11,2290,4550
11,2530,4440
11,2740,4290
11,3230,4170
11,2500,4500
11,2650,4420
11,3310,4030
11,3190,4120
11,2940,4270
11,3310,4150
11,2840,4340
11,3340,4040
11,3150,4110
11,2910,4290
11,2920,4320
11,2950,4290
11,2360,4510
11,2400,4510
11,3310,4140
11,2700,4400
11,3390,4110
11,3250,4100
11,2530,4420
11,3340,4070
11,3340,4010
11,3110,4220
11,2780,4350
11,2810,4370
11,2630,4450
11,3040,4210
11,2700,4430
11,2580,4390
11,2770,4370
11,3000,4230
11,2910,4230
11,3160,4160
11,2570,4390
11,3160,4210
11,2810,4290
11,3370,4000
11,3320,4040
11,2840,4300
11,2530,4500
11,2240,4540
11,2830,4250
11,3370,4010
11,3030,4220
11,2790,4340
11,2480,4500
11,2890,4250
11,3290,4040
11,2920,4260
11,2460,4480
11,590,1040
11,2920,1750
11,1930,1640
11,1490,280
11,3250,2290
11,2450,1780
11,2880,80
11,2870,190
11,80,1640
11,1920,1520
11,1280,3170
11,1330,2660
11,2650,210
11,1460,560
11,40,960
11,1930,710
11,1940,1360
11,3010,2260
11,2140,2010
11,2660,1800
11,1390,1300
11,3040,590
11,2470,1410
11,420,790
11,320,940
11,1310,2950
11,2760,1150
11,1940,210
11,1490,1050
11,1990,2750
11,980,340
11,610,580
11,870,3340
11,2370,1680
11,2470,670
11,2490,2060
11,2250,1900
11,1320,2540
11,1240,2770
11,1600,2590
11,3110,630
11,930,210
11,2660,930
11,2860,1540
11,800,390
11,570,200
11,1850,150
11,2950,780
11,2470,400
11,2670,2300
11,2000,1490
11,2940,1660
11,1890,220
11,2210,440
11,2710,1930
11,2660,2350
11,2580,2150
11,1260,170
11,1880,1310
11,1770,1010
11,1930,1030
11,2230,2100
11,1390,420
11,560,950
11,2090,1040
11,2480,670
11,260,1260
11,2350,2160
11,3200,190
11,1970,2320
11,1420,530
11,1100,860
11,680,450
11,2640,1470
11,2930,1840
11,1170,2370
11,2910,600
11,2670,830
11,2010,1960
11,2630,510
11,1970,2300
11,3370,1610
11,3340,1510
11,470,740
11,1790,1390
11,920,320
11,1310,2580
11,2460,440
11,3000,2170
11,2580,1190
11,1930,810
11,580,1020
11,1290,3470
11,3170,100
11,2550,1890
11,2370,2450
11,1700,2790
11,1440,370
11,1130,790
11,1740,2390
11,2700,1830
11,1850,2280
11,1870,960
11,340,120
11,1730,1020
11,280,1020
11,2700,920
11,2500,330
11,2830,210
11,2990,1570
11,2170,2220
11,2130,1380
11,2220,2740
11,2340,2010
11,1750,2400
11,1650,2360
11,2260,2250
11,1340,2630
11,3110,100
11,1720,2220
11,2060,2410
11,1060,2970
11,70,860
11,2180,410
11,1510,400
11,2020,2510
11,720,330
11,2910,370
11,1950,1940
11,150,420
11,1030,3890
11,2840,1840
11,3290,2140
11,1910,1540
11,2670,1010
11,750,340
11,1740,2470
11,2280,640
11,2050,1430
11,2360,2300
11,860,980
11,140,740
11,1060,190
11,2040,1360
11,2000,2220
11,260,1070
11,3090,1760
11,1400,590
11,2780,1690
11,450,540
11,2630,1210
11,2510,840
11,2080,2750
11,2710,2140
11,2540,800
11,1730,1180
11,540,310
11,1160,2410
11,260,370
11,2220,2460
11,3200,1450
11,1780,2600
11,230,150
11,2380,620
11,2020,1930
11,940,400
11,1030,230
11,3120,1240
11,1710,2780
11,370,680
11,1550,950
11,2310,1620
11,1830,1270
11,110,600
11,1690,1830
11,1230,3280
11,820,720
11,1770,510
11,500,1320
11,2650,1160
11,1460,2290
11,1260,1140
11,1380,3070
11,1020,3140
11,930,3100
11,2260,1020
11,1380,320
11,2160,2310
11,3220,550
11,990,2990
11,3160,1610
11,1840,720
11,2450,1670
11,420,220
11,1690,2580
11,3110,290
11,2970,550
11,680,670
11,2690,1020
11,3260,1340
11,770,670
11,140,1260
11,2430,890
11,1800,1100
11,1780,440
11,70,240
11,880,640
11,1530,1480
11,1080,3260
11,1220,3590
11,50,1170
11,180,1270
11,1950,1490
11,90,1790
11,820,730
11,2880,2090
11,2540,970
11,3150,2270
11,860,460
11,2100,350
11,1120,1100
11,1900,1170
11,470,1300
11,130,1750
11,2530,1970
11,890,410
11,560,770
11,200,1480
11,2120,1930
11,130,1410
11,1790,130
11,3320,1460
11,1180,3150
11,950,890
11,3320,1970
11,1090,3020
11,1450,840
11,3110,1710
11,1400,470
11,1770,600
11,1530,2190
11,930,3820
11,2500,2300
11,2640,1330
11,770,900
11,470,760
11,1650,750
11,1660,290
11,2920,3330
11,530,2360
11,530,3750
11,3240,2560
11,200,3170
11,930,1620
11,490,2440
11,830,1910
11,560,3780
11,820,2040
11,2940,2830
11,3310,3790
11,630,4150
11,1290,4160
11,550,3770
11,1040,4360
11,560,3770
11,400,2350
11,530,3770
11,2040,3670
11,950,2050
11,1550,4000
11,1030,4380
11,110,2930
11,3050,2730
11,1810,3750
11,3210,2580
11,570,3770
11,3240,3160
11,1040,4380
11,2390,3320
11,1560,3980
11,250,4360
11,2050,3680
11,840,1760
11,2580,4110
11,1800,3760
11,2940,2810
11,1190,4550
11,280,4360
11,570,3780
11,3320,3460
11,250,4370
11,2680,4210
11,1700,3060
11,2930,3130
11,2040,3680
11,1060,1920
11,1760,3560
11,3040,2710
11,400,2230
11,580,3750
11,1650,280
11,1020,4410
11,990,4050
11,540,3750
11,1530,4030
11,2190,4350
11,200,3140
11,260,4370
11,550,3760
11,1030,4390
11,1030,4400
11,1550,4010
11,3050,2720
11,260,4360
11,540,3760
11,3220,2570
11,580,3770
11,1540,4020
11,1690,3060
11,950,2040
11,2300,3620
11,490,2450
11,130,2810
11,530,3740
11,580,3760
11,3320,3470
11,3220,3150
11,180,2930
11,1700,3070
11,2390,3330
11,350,2310
11,620,2100
11,3050,2710
11,1650,290
11,1930,3420
11,1240,1510
11,1280,4160
11,1090,1350
11,2050,3670
11,790,1990
11,1310,4170
11,650,2280
11,1740,3860
11,520,2360
11,290,4360
11,2620,3590
11,520,3750
11,2870,2810
11,2530,3410
11,2100,3190
11,1620,3770
11,540,3770
11,3240,2550
11,270,4360
11,3230,2540
11,3300,3780
11,1660,310
11,3260,3410
11,3050,3950
11,1750,3690
11,3230,2570
11,1560,3990
11,1750,3840
11,1650,4000
11,2620,3580
11,2950,2840
11,3230,3160
11,2400,3590
11,1980,3230
11,2090,3340
11,2870,2820
11,1750,3700
11,3040,3950
11,2950,2830
11,860,3960
11,1680,3060
11,1660,300
11,1610,3770
11,290,4350
11,110,2940
11,1650,300
11,2610,3580
11,2940,2820
11,1750,3680
11,2460,3380
11,100,2940
11,520,3760
11,2380,3320
11,1660,320
11,3310,3460
11,270,4370
11,3240,2570
11,660,2280
11,480,2440
11,2530,3400
11,2510,4190
11,2060,3670
11,3310,3780
11,1290,4170
11,1990,3230
11,3240,2540
11,2100,3340
11,1240,1520
11,120,2920
11,1540,4010
11,1260,1480
11,210,3240
11,580,3780
11,3230,2550
11,1660,4000
11,1040,4370
11,190,3120
11,1300,4170
11,3260,3420
11,1020,4400
11,770,1650
11,190,2930
11,1040,4390
11,2300,3180
11,1940,4550
11,1010,1500
11,3040,2720
11,2040,3690
11,2850,3400
11,1050,4390
11,1750,4550
11,3210,2570
11,980,4060
11,2880,2810
11,530,3760
11,930,1610
11,1980,3220
11,1650,310
11,520,3740
11,1300,4160
11,1300,4150
11,3220,3750
11,3310,3470
11,410,2350
11,240,4370
11,3230,2560
11,1750,4540
