tail,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint,auroc
100,0.890,0.791,0.639,0.994,0.794,0.944,0.943
200,0.900,0.840,0.747,0.997,0.841,0.932,0.954
300,0.901,0.860,0.803,0.997,0.861,0.917,0.959
400,0.902,0.873,0.840,0.997,0.874,0.906,0.961
500,0.899,0.877,0.861,0.998,0.878,0.893,0.962
600,0.899,0.883,0.882,0.998,0.884,0.884,0.963
700,0.897,0.885,0.895,0.998,0.886,0.874,0.964
800,0.895,0.887,0.909,0.998,0.888,0.865,0.964
900,0.893,0.887,0.918,0.999,0.888,0.857,0.965
1000,0.891,0.888,0.926,0.999,0.889,0.851,0.965
