tail,f1_macro_medio,f1_macro_std,acc_medio,acc_std,uuc_acc_medio,uuc_acc_std,inner_medio,inner std,outer_medio,outer_std,halfpoint_medio,halfpoint_std,auroc_media,auroc_std
0,0.309,0.058,0.531,0.030,0.991,0.017,1.000,0.000,0.531,0.030,0.070,0.045,0.587,0.042
10,0.623,0.025,0.658,0.014,0.825,0.048,1.000,0.000,0.658,0.014,0.491,0.047,0.725,0.013
20,0.521,0.032,0.597,0.038,0.877,0.074,1.000,0.000,0.597,0.038,0.316,0.032,0.681,0.024
30,0.409,0.042,0.575,0.017,0.982,0.022,1.000,0.000,0.575,0.017,0.167,0.033,0.633,0.041
40,0.309,0.058,0.531,0.030,0.991,0.017,1.000,0.000,0.531,0.030,0.070,0.045,0.589,0.043
50,0.309,0.058,0.531,0.030,0.991,0.017,1.000,0.000,0.531,0.030,0.070,0.045,0.587,0.042
60,0.309,0.058,0.531,0.030,0.991,0.017,1.000,0.000,0.531,0.030,0.070,0.045,0.587,0.042
